"プロット タイトル: 21751639"
"#","日付 時間, GMT+03:00","Event, units (LGR S/N: 21751639, SEN S/N: 21751639)","カプラー取り外し (LGR S/N: 21751639)","カプラー取り付け (LGR S/N: 21751639)","ホスト接続 (LGR S/N: 21751639)","ファイルの終わり (LGR S/N: 21751639)"
525,24/04/25 16:24:25,99.8,,,,
526,24/04/25 16:24:32,100.0,,,,
527,24/04/25 16:24:39,100.2,,,,
528,24/04/25 16:24:46,100.4,,,,
529,24/04/25 16:24:53,100.6,,,,
530,24/04/25 16:25:00,100.8,,,,
531,24/04/25 16:25:08,101.0,,,,
532,24/04/25 16:25:14,101.2,,,,
533,24/04/25 16:25:20,101.4,,,,
534,24/04/25 16:25:26,101.6,,,,
535,24/04/25 16:25:32,101.8,,,,
536,24/04/25 16:25:37,102.0,,,,
537,24/04/25 16:25:44,102.2,,,,
538,24/04/25 16:25:49,102.4,,,,
539,24/04/25 16:25:56,102.6,,,,
540,24/04/25 16:26:01,102.8,,,,
541,24/04/25 16:26:05,103.0,,,,
542,24/04/25 16:26:11,103.2,,,,
543,24/04/25 16:26:15,103.4,,,,
544,24/04/25 16:26:20,103.6,,,,
545,24/04/25 16:26:26,103.8,,,,
546,24/04/25 16:26:30,104.0,,,,
547,24/04/25 16:26:36,104.2,,,,
548,24/04/25 16:26:41,104.4,,,,
549,24/04/25 16:26:47,104.6,,,,
550,24/04/25 16:26:53,104.8,,,,
551,24/04/25 16:26:59,105.0,,,,
552,24/04/25 16:27:04,105.2,,,,
553,24/04/25 16:27:09,105.4,,,,
554,24/04/25 16:27:14,105.6,,,,
555,24/04/25 16:27:19,105.8,,,,
556,24/04/25 16:27:24,106.0,,,,
557,24/04/25 16:27:29,106.2,,,,
558,24/04/25 16:27:34,106.4,,,,
559,24/04/25 16:27:39,106.6,,,,
560,24/04/25 16:27:45,106.8,,,,
561,24/04/25 16:27:52,107.0,,,,
562,24/04/25 16:28:01,107.2,,,,
563,24/04/25 16:28:12,107.4,,,,
564,24/04/25 16:28:21,107.6,,,,
565,24/04/25 16:28:30,107.8,,,,
566,24/04/25 16:28:40,108.0,,,,
567,24/04/25 16:28:53,108.2,,,,
568,24/04/25 16:29:02,108.4,,,,
569,24/04/25 16:29:14,108.6,,,,
570,24/04/25 16:29:28,108.8,,,,
571,24/04/25 16:29:41,109.0,,,,
572,24/04/25 16:30:00,109.2,,,,
573,24/04/25 16:30:21,109.4,,,,
574,24/04/25 16:30:52,109.6,,,,
575,24/04/25 16:31:42,109.8,,,,
576,24/04/25 16:32:51,110.0,,,,
577,24/04/25 16:34:09,110.2,,,,
578,24/04/25 16:35:38,110.4,,,,
579,24/04/25 16:36:50,110.6,,,,
580,24/04/25 16:43:27,110.8,,,,
581,24/04/25 16:59:29,111.0,,,,
582,24/04/25 17:00:20,111.2,,,,
583,24/04/25 17:01:01,111.4,,,,
584,24/04/25 17:01:26,111.6,,,,
585,24/04/25 17:01:42,111.8,,,,
586,24/04/25 17:01:58,112.0,,,,
587,24/04/25 17:02:15,112.2,,,,
588,24/04/25 17:02:28,112.4,,,,
589,24/04/25 17:02:38,112.6,,,,
590,24/04/25 17:02:48,112.8,,,,
591,24/04/25 17:03:00,113.0,,,,
592,24/04/25 17:03:10,113.2,,,,
